"country, country abbreviation, name, role, caps, goals, length, first match, birthday, club, country of club abbreviation"
Nigeria,NGA,John Obi MIKEL,Midfielder,63,4,188,Libya - Nigeria 17 Aug 2005,22 Apr 1987,Chelsea FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/234463.png
Nigeria,NGA,Victor MOSES,Forward,24,7,177,Rwanda - Nigeria 29 Feb 2012,12 Dec 1990,Liverpool FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/274090.png
Nigeria,NGA,Ebenezer ODUNLAMI,Defender,11,0,187,Cte d'Ivoire - Nigeria 27 Jul 2013,30 Apr 1991,Sunshine Stars FC ,NGA,http://img.fifa.com/images/fwc/2014/players/prt-3/368009.png
Nigeria,NGA,Juwon OSHANIWA,Defender,14,0,184,Nigeria - Angola 11 Jan 2012,14 Sep 1990,FC Ashdod ,ISR,http://img.fifa.com/images/fwc/2014/players/prt-3/356712.png
Nigeria,NGA,Godfrey OBOABONA,Defender,36,1,183,Nigeria - Angola 11 Jan 2012,16 Sep 1990,Caykur Rizespor ,TUR,http://img.fifa.com/images/fwc/2014/players/prt-3/356459.png
Nigeria,NGA,Ramon AZEEZ,Midfielder,3,0,170,Mexico - Nigeria 05 Mar 2014,12 Dec 1992,UD Almeria ,ESP,http://img.fifa.com/images/fwc/2014/players/prt-3/315436.png
Nigeria,NGA,Austine EJIDE,Goalkeeper,31,0,186,Namibia - Nigeria 16 Jun 2001,08 Apr 1984,Hapoel Be'er Sheva FC ,ISR,http://img.fifa.com/images/fwc/2014/players/prt-3/184856.png
Nigeria,NGA,Ogenyi ONAZI,Midfielder,25,1,168,Nigeria - Liberia 13 Oct 2012,25 Dec 1992,SS Lazio ,ITA,http://img.fifa.com/images/fwc/2014/players/prt-3/315429.png
Nigeria,NGA,Michael BABATUNDE,Forward,7,0,165,Mexico - Nigeria 31 May 2013,24 Dec 1992,FC Volyn Lutsk ,UKR,http://img.fifa.com/images/fwc/2014/players/prt-3/312014.png
Nigeria,NGA,Uche NWOFOR,Forward,8,3,177,Nigeria - Congo DR 03 Mar 2010,17 Sep 1991,SC Heerenveen ,NED,http://img.fifa.com/images/fwc/2014/players/prt-3/338673.png
Nigeria,NGA,Okechukwu UCHEBO,Forward,5,1,194,Mexico - Nigeria 05 Mar 2014,03 Feb 1990,Cercle Brugge ,BEL,http://img.fifa.com/images/fwc/2014/players/prt-3/306900.png
Nigeria,NGA,Chigozie AGBIM,Goalkeeper,14,0,187,Nigeria - Angola 11 Jan 2012,28 Nov 1984,Enugu Rangers FC ,NGA,http://img.fifa.com/images/fwc/2014/players/prt-3/182479.png
Nigeria,NGA,Kenneth OMERUO,Defender,21,0,185,Cape Verde Islands - Nigeria 09 Jan 2013,17 Oct 1993,Middlesbrough FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/315424.png
Nigeria,NGA,Shola AMEOBI,Forward,9,2,188,Venezuela - Nigeria 14 Nov 2012,12 Oct 1981,Newcastle United FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/186455.png
Australia,AUS,Maty RYAN,Goalkeeper,10,0,181,Korea DPR - Australia 05 Dec 2012,08 Apr 1992,Club Brugge KV ,BEL,http://img.fifa.com/images/fwc/2014/players/prt-3/339117.png
Australia,AUS,Ivan FRANJIC,Defender,10,0,180,Hong Kong - Australia 03 Dec 2012,10 Sep 1987,Brisbane Roar FC ,AUS,http://img.fifa.com/images/fwc/2014/players/prt-3/370062.png
Australia,AUS,Jason DAVIDSON,Defender,10,0,179,Scotland - Australia 15 Aug 2012,29 Jun 1991,SC Heracles Almelo ,NED,http://img.fifa.com/images/fwc/2014/players/prt-3/306364.png
Australia,AUS,Tim CAHILL,Forward,71,34,180,Australia - South Africa 30 Mar 2004,06 Dec 1979,New York Red Bulls ,USA,http://img.fifa.com/images/fwc/2014/players/prt-3/213001.png
Australia,AUS,Mark MILLIGAN,Midfielder,30,2,178,Australia - Liechtenstein 07 Jun 2006,04 Aug 1985,Melbourne Victory FC ,AUS,http://img.fifa.com/images/fwc/2014/players/prt-3/197411.png
Australia,AUS,Matthew SPIRANOVIC,Defender,21,0,188,Australia - Ghana 23 May 2008,27 Jun 1988,Western Sydney Wanderers FC ,AUS,http://img.fifa.com/images/fwc/2014/players/prt-3/229051.png
Australia,AUS,Mathew LECKIE,Forward,11,1,181,Korea Republic - Australia 14 Nov 2012,04 Feb 1991,FSV Frankfurt ,GER,http://img.fifa.com/images/fwc/2014/players/prt-3/321697.png
Australia,AUS,Bailey WRIGHT,Defender,0,0,184,-,28 Jul 1992,Preston North End FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/379165.png
Australia,AUS,Adam TAGGART,Forward,7,3,172,Hong Kong - Australia 03 Dec 2012,02 Jun 1993,Newcastle United Jets FC ,AUS,http://img.fifa.com/images/fwc/2014/players/prt-3/368902.png
Australia,AUS,Ben HALLORAN,Forward,5,0,180,Australia - South Africa 26 May 2014,14 Jun 1992,Fortuna Duesseldorf ,GER,http://img.fifa.com/images/fwc/2014/players/prt-3/379164.png
Australia,AUS,Tommy OAR,Midfielder,18,1,170,Australia - Indonesia 03 Mar 2010,10 Dec 1991,FC Utrecht ,NED,http://img.fifa.com/images/fwc/2014/players/prt-3/306424.png
Australia,AUS,Mitch LANGERAK,Goalkeeper,3,0,191,France - Australia 11 Oct 2013,22 Aug 1988,Borussia Dortmund ,GER,http://img.fifa.com/images/fwc/2014/players/prt-3/356933.png
Australia,AUS,Oliver BOZANIC,Midfielder,5,0,167,Canada - Australia 15 Oct 2013,08 Jan 1989,FC Luzern ,SUI,http://img.fifa.com/images/fwc/2014/players/prt-3/312234.png
Australia,AUS,James TROISI,Midfielder,13,1,177,Singapore - Australia 22 Mar 2008,03 Jul 1988,Melbourne Victory FC ,AUS,http://img.fifa.com/images/fwc/2014/players/prt-3/290605.png
