"country, country abbreviation, name, role, caps, goals, length, first match, birthday, club, country of club abbreviation"
Honduras,HON,Juan MONTES,Defender,11,1,196,Honduras - El Salvador 18 Jan 2013,26 Dec 1985,CD Motagua ,HON,http://img.fifa.com/images/fwc/2014/players/prt-3/365464.png
Honduras,HON,Victor BERNARDEZ,Defender,80,3,187,Venezuela - Honduras 10 Mar 2004,24 May 1982,San Jose Earthquakes ,USA,http://img.fifa.com/images/fwc/2014/players/prt-3/213878.png
Honduras,HON,Juan Carlos GARCIA,Defender,38,1,175,Honduras - Grenada 11 Jul 2009,08 Mar 1988,Wigan Athletic FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/296303.png
Honduras,HON,Emilio IZAGUIRRE,Midfielder,68,1,177,Costa Rica - Honduras 09 Feb 2007,10 May 1986,Celtic FC ,SCO,http://img.fifa.com/images/fwc/2014/players/prt-3/230117.png
Honduras,HON,Wilson PALACIOS,Midfielder,96,5,181,Honduras - Paraguay 02 Apr 2003,29 Jul 1984,Stoke City FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/209827.png
Honduras,HON,Jerry PALACIOS,Midfielder,25,5,181,USA - Honduras 02 Mar 2002,13 May 1982,LD Alajuelense ,CRC,http://img.fifa.com/images/fwc/2014/players/prt-3/213953.png
Honduras,HON,Mario MARTINEZ,Midfielder,38,3,173,El Salvador - Honduras 04 Sep 2010,30 Jul 1989,Real Espana ,HON,http://img.fifa.com/images/fwc/2014/players/prt-3/296297.png
Honduras,HON,Jerry BENGTSON,Forward,47,19,187,Honduras - Venezuela 21 Apr 2010,08 Apr 1987,New England Revolution ,USA,http://img.fifa.com/images/fwc/2014/players/prt-3/323623.png
Honduras,HON,Edder DELGADO,Midfielder,27,0,179,Panama - Honduras 28 Jun 2009,20 Nov 1986,Real Espana ,HON,http://img.fifa.com/images/fwc/2014/players/prt-3/296312.png
Honduras,HON,Carlo COSTLY,Forward,72,32,190,Honduras - Trinidad and Tobago 02 Jun 2007,18 Jul 1982,Real Espana ,HON,http://img.fifa.com/images/fwc/2014/players/prt-3/271414.png
Honduras,HON,Boniek GARCIA,Midfielder,93,2,176,Canada - Honduras 02 Jul 2005,04 Sep 1984,Houston Dynamo ,USA,http://img.fifa.com/images/fwc/2014/players/prt-3/237071.png
Honduras,HON,Roger ESPINOZA,Midfielder,45,4,180,Honduras - Belize 22 Jan 2009,25 Oct 1986,Wigan Athletic FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/304934.png
Honduras,HON,Rony MARTINEZ,Forward,9,1,171,Honduras - Israel 02 Jun 2013,16 Oct 1987,CD Real Sociedad ,HON,http://img.fifa.com/images/fwc/2014/players/prt-3/369990.png
Honduras,HON,Andy NAJAR,Midfielder,20,1,170,Honduras - Colombia 03 Sep 2011,16 Mar 1993,RSC Anderlecht ,BEL,http://img.fifa.com/images/fwc/2014/players/prt-3/330693.png
Honduras,HON,Noel VALLADARES,Goalkeeper,124,0,178,Honduras - Haiti 03 Jun 2000,03 May 1977,CD Olimpia ,HON,http://img.fifa.com/images/fwc/2014/players/prt-3/178185.png
Honduras,HON,Luis GARRIDO,Midfielder,22,0,170,Panama - Honduras 12 Oct 2012,05 Nov 1990,CD Olimpia ,HON,http://img.fifa.com/images/fwc/2014/players/prt-3/270400.png
Honduras,HON,Jorge CLAROS,Midfielder,53,3,176,Venezuela - Honduras 16 Aug 2006,08 Jan 1986,CD Motagua ,HON,http://img.fifa.com/images/fwc/2014/players/prt-3/230114.png
Honduras,HON,Brayan BECKELES,Defender,27,1,186,Canada - Honduras 07 Sep 2010,28 Nov 1985,CD Olimpia ,HON,http://img.fifa.com/images/fwc/2014/players/prt-3/339551.png
Honduras,HON,Donis ESCOBER,Goalkeeper,20,0,180,Japan - Honduras 02 May 2002,03 Feb 1981,CD Olimpia ,HON,http://img.fifa.com/images/fwc/2014/players/prt-3/213871.png
Honduras,HON,Marvin CHAVEZ,Midfielder,44,4,165,China PR - Honduras 12 Feb 2006,03 Nov 1983,CD Chivas USA ,USA,http://img.fifa.com/images/fwc/2014/players/prt-3/227839.png
Mexico,MEX,Jose CORONA,Goalkeeper,33,0,178,Mexico - Poland 27 Apr 2005,26 Jan 1981,Cruz Azul FC ,MEX,http://img.fifa.com/images/fwc/2014/players/prt-3/195231.png
Mexico,MEX,Francisco RODRIGUEZ,Defender,97,1,191,Mexico - Chile 18 Feb 2004,20 Oct 1981,Club America ,MEX,http://img.fifa.com/images/fwc/2014/players/prt-3/209960.png
Mexico,MEX,Carlos SALCIDO,Defender,122,10,176,Trinidad and Tobago - Mexico 08 Sep 2004,02 Apr 1980,Tigres UANL ,MEX,http://img.fifa.com/images/fwc/2014/players/prt-3/218253.png
Mexico,MEX,Rafael MARQUEZ,Defender,124,16,184,Mexico - Ecuador 05 Feb 1997,13 Feb 1979,Club Leon ,MEX,http://img.fifa.com/images/fwc/2014/players/prt-3/178119.png
Mexico,MEX,Diego REYES,Defender,15,0,189,Chile - Mexico 04 Jul 2011,19 Sep 1992,FC Porto ,POR,http://img.fifa.com/images/fwc/2014/players/prt-3/308082.png
Mexico,MEX,Hector HERRERA,Midfielder,17,0,180,Mexico - El Salvador 16 Oct 2012,19 Apr 1990,FC Porto ,POR,http://img.fifa.com/images/fwc/2014/players/prt-3/329092.png
Mexico,MEX,Miguel LAYUN,Defender,17,2,178,Mexico - Canada 11 Jul 2013,25 Jun 1988,Club America ,MEX,http://img.fifa.com/images/fwc/2014/players/prt-3/371044.png
Mexico,MEX,Marco FABIAN,Midfielder,18,5,171,Mexico - Venezuela 25 Jan 2012,21 Jul 1989,Cruz Azul FC ,MEX,http://img.fifa.com/images/fwc/2014/players/prt-3/319311.png
Mexico,MEX,Raul JIMENEZ,Forward,24,4,186,Mexico - Denmark 30 Jan 2013,05 May 1991,Club America ,MEX,http://img.fifa.com/images/fwc/2014/players/prt-3/356731.png
Mexico,MEX,Giovani DOS SANTOS,Forward,78,16,179,Brazil - Mexico 12 Sep 2007,11 May 1989,Villarreal CF ,ESP,http://img.fifa.com/images/fwc/2014/players/prt-3/234551.png
Mexico,MEX,Alan PULIDO,Forward,6,4,176,Mexico - Korea Republic 29 Jan 2014,08 Mar 1991,Tigres UANL ,MEX,http://img.fifa.com/images/fwc/2014/players/prt-3/336722.png
Mexico,MEX,Alfredo TALAVERA,Goalkeeper,14,0,188,Mexico - Paraguay 26 Mar 2011,18 Sep 1982,Deportivo Toluca FC ,MEX,http://img.fifa.com/images/fwc/2014/players/prt-3/175546.png
Mexico,MEX,Guillermo OCHOA,Goalkeeper,61,0,185,Mexico - Hungary 14 Dec 2005,13 Jul 1985,AC Ajaccio ,FRA,http://img.fifa.com/images/fwc/2014/players/prt-3/215285.png
Mexico,MEX,Javier HERNANDEZ,Forward,66,36,175,Mexico - Colombia 30 Sep 2009,01 Jun 1988,Manchester United FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/228599.png
Mexico,MEX,Hector MORENO,Defender,57,1,182,Mexico - Guatemala 17 Oct 2007,17 Jan 1988,RCD Espanyol ,ESP,http://img.fifa.com/images/fwc/2014/players/prt-3/238112.png
Mexico,MEX,Miguel PONCE,Defender,7,0,175,Peru - Mexico 08 Jul 2011,12 Apr 1989,Deportivo Toluca FC ,MEX,http://img.fifa.com/images/fwc/2014/players/prt-3/350129.png
Mexico,MEX,Isaac BRIZUELA,Midfielder,7,0,173,Mexico - Panama 07 Jul 2013,28 Aug 1990,Deportivo Toluca FC ,MEX,http://img.fifa.com/images/fwc/2014/players/prt-3/371042.png
Mexico,MEX,Andres GUARDADO,Defender,106,15,167,Mexico - Hungary 14 Dec 2005,28 Sep 1986,Bayer 04 Leverkusen ,GER,http://img.fifa.com/images/fwc/2014/players/prt-3/251352.png
Mexico,MEX,Oribe PERALTA,Forward,32,16,177,Argentina - Mexico 09 Mar 2005,12 Jan 1984,Club Santos Laguna ,MEX,http://img.fifa.com/images/fwc/2014/players/prt-3/227851.png
Mexico,MEX,Javier AQUINO,Midfielder,23,0,166,Chile - Mexico 04 Jul 2011,11 Feb 1990,Villarreal CF ,ESP,http://img.fifa.com/images/fwc/2014/players/prt-3/350124.png
Mexico,MEX,Carlos PENA,Midfielder,15,1,176,Mexico - El Salvador 16 Oct 2012,29 Mar 1990,Club Leon ,MEX,http://img.fifa.com/images/fwc/2014/players/prt-3/303394.png
Mexico,MEX,Paul AGUILAR,Defender,32,3,178,Mexico - Colombia 30 Sep 2009,06 Mar 1986,Club America ,MEX,http://img.fifa.com/images/fwc/2014/players/prt-3/289195.png
Mexico,MEX,Jose VAZQUEZ,Midfielder,8,0,164,Mexico - Korea Republic 29 Jan 2014,14 Mar 1988,Club Leon ,MEX,http://img.fifa.com/images/fwc/2014/players/prt-3/379264.png
USA,USA,Tim HOWARD,Goalkeeper,103,0,187,USA - Ecuador 10 Mar 2002,06 Mar 1979,Everton FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/178420.png
USA,USA,DeAndre YEDLIN,Defender,7,0,175,USA - Korea Republic 01 Feb 2014,09 Jul 1993,Seattle Sounders FC ,USA,http://img.fifa.com/images/fwc/2014/players/prt-3/368973.png
USA,USA,Omar GONZALEZ,Defender,23,0,195,USA - Brazil 10 Aug 2010,11 Oct 1988,Los Angeles Galaxy ,USA,http://img.fifa.com/images/fwc/2014/players/prt-3/234405.png
USA,USA,Michael BRADLEY,Midfielder,89,12,185,USA - Venezuela 26 May 2006,31 Jul 1987,Toronto FC ,CAN,http://img.fifa.com/images/fwc/2014/players/prt-3/233531.png
USA,USA,Matt BESLER,Defender,21,0,182,USA - Canada 29 Jan 2013,11 Feb 1987,Sporting Kansas City ,USA,http://img.fifa.com/images/fwc/2014/players/prt-3/367433.png
USA,USA,John BROOKS,Defender,5,1,193,Bosnia and Herzegovina - USA 14 Aug 2013,28 Jan 1993,Hertha BSC ,GER,http://img.fifa.com/images/fwc/2014/players/prt-3/373555.png
USA,USA,DaMarcus BEASLEY,Defender,120,17,170,USA - China PR 27 Jan 2001,24 May 1982,Puebla FC ,MEX,http://img.fifa.com/images/fwc/2014/players/prt-3/175498.png
USA,USA,Clint DEMPSEY,Forward,108,38,185,USA - Jamaica 17 Nov 2004,09 Mar 1983,Seattle Sounders FC ,USA,http://img.fifa.com/images/fwc/2014/players/prt-3/207851.png
USA,USA,Aron JOHANNSSON,Forward,9,2,182,Bosnia and Herzegovina - USA 14 Aug 2013,10 Nov 1990,AZ Alkmaar ,NED,http://img.fifa.com/images/fwc/2014/players/prt-3/367347.png
USA,USA,Mix DISKERUD,Midfielder,20,3,182,South Africa - USA 17 Nov 2010,02 Oct 1990,Rosenborg BK ,NOR,http://img.fifa.com/images/fwc/2014/players/prt-3/312672.png
USA,USA,Alejandro BEDOYA,Midfielder,31,1,178,USA - Honduras 23 Jan 2010,29 Apr 1987,FC Nantes ,FRA,http://img.fifa.com/images/fwc/2014/players/prt-3/296273.png
USA,USA,Brad GUZAN,Goalkeeper,25,0,193,USA - Guatemala 19 Feb 2006,09 Sep 1984,Aston Villa FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/276139.png
USA,USA,Jermaine JONES,Midfielder,48,3,184,USA - Poland 09 Oct 2010,03 Nov 1981,Besiktas JK ,TUR,http://img.fifa.com/images/fwc/2014/players/prt-3/183893.png
USA,USA,Brad DAVIS,Midfielder,17,0,180,Cuba - USA 07 Jul 2005,08 Nov 1981,Houston Dynamo ,USA,http://img.fifa.com/images/fwc/2014/players/prt-3/181951.png
USA,USA,Kyle BECKERMAN,Midfielder,40,1,181,USA - Denmark 20 Jan 2007,23 Apr 1982,Real Salt Lake ,USA,http://img.fifa.com/images/fwc/2014/players/prt-3/175512.png
USA,USA,Julian GREEN,Midfielder,3,1,172,USA - Mexico 02 Apr 2014,06 Jun 1995,FC Bayern Muenchen ,GER,http://img.fifa.com/images/fwc/2014/players/prt-3/369094.png
USA,USA,Jozy ALTIDORE,Forward,70,22,185,South Africa - USA 17 Nov 2007,06 Nov 1989,Sunderland AFC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/238072.png
USA,USA,Chris WONDOLOWSKI,Forward,22,9,182,USA - Chile 22 Jan 2011,28 Jan 1983,San Jose Earthquakes ,USA,http://img.fifa.com/images/fwc/2014/players/prt-3/339508.png
USA,USA,Graham ZUSI,Midfielder,27,3,177,USA - Venezuela 21 Jan 2012,18 Aug 1986,Sporting Kansas City ,USA,http://img.fifa.com/images/fwc/2014/players/prt-3/360728.png
USA,USA,Geoff CAMERON,Defender,30,1,190,USA - El Salvador 24 Feb 2010,11 Jul 1985,Stoke City FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/321971.png
USA,USA,Timmy CHANDLER,Defender,13,0,186,USA - Argentina 26 Mar 2011,29 Mar 1990,1. FC Nuernberg ,GER,http://img.fifa.com/images/fwc/2014/players/prt-3/365556.png
USA,USA,Nick RIMANDO,Goalkeeper,14,0,182,USA - El Salvador 17 Nov 2002,17 Jun 1979,Real Salt Lake ,USA,http://img.fifa.com/images/fwc/2014/players/prt-3/184982.png
USA,USA,Fabian JOHNSON,Defender,26,1,182,France - USA 11 Nov 2011,11 Dec 1987,TSG 1899 Hoffenheim ,GER,http://img.fifa.com/images/fwc/2014/players/prt-3/311174.png
Argentina,ARG,Sergio ROMERO,Goalkeeper,54,0,192,Paraguay - Argentina 09 Sep 2009,22 Feb 1987,AS Monaco ,FRA,http://img.fifa.com/images/fwc/2014/players/prt-3/266783.png
Argentina,ARG,Ezequiel GARAY,Defender,25,0,186,Norway - Argentina 22 Aug 2007,10 Oct 1986,SL Benfica ,POR,http://img.fifa.com/images/fwc/2014/players/prt-3/200130.png
Argentina,ARG,Hugo CAMPAGNARO,Defender,16,0,181,Switzerland - Argentina 29 Feb 2012,27 Jun 1980,FC Internazionale ,ITA,http://img.fifa.com/images/fwc/2014/players/prt-3/356612.png
Argentina,ARG,Pablo ZABALETA,Defender,43,0,174,Hungary - Argentina 17 Aug 2005,16 Jan 1985,Manchester City FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/182379.png
Argentina,ARG,Fernando GAGO,Midfielder,55,0,178,France - Argentina 07 Feb 2007,10 Apr 1986,CA Boca Juniors ,ARG,http://img.fifa.com/images/fwc/2014/players/prt-3/201001.png
Argentina,ARG,Lucas BIGLIA,Midfielder,26,0,175,Argentina - Portugal 09 Feb 2011,30 Jan 1986,SS Lazio ,ITA,http://img.fifa.com/images/fwc/2014/players/prt-3/200133.png
Argentina,ARG,Angel DI MARIA,Midfielder,52,10,178,Argentina - Paraguay 06 Sep 2008,14 Feb 1988,Real Madrid CF ,ESP,http://img.fifa.com/images/fwc/2014/players/prt-3/266800.png
Argentina,ARG,Enzo PEREZ,Midfielder,11,1,177,Argentina - Ghana 30 Sep 2009,22 Feb 1986,SL Benfica ,POR,http://img.fifa.com/images/fwc/2014/players/prt-3/316997.png
Argentina,ARG,Gonzalo HIGUAIN,Forward,43,21,184,Argentina - Peru 10 Oct 2009,10 Dec 1987,SSC Napoli ,ITA,http://img.fifa.com/images/fwc/2014/players/prt-3/271550.png
Argentina,ARG,Lionel MESSI,Forward,93,42,169,Hungary - Argentina 17 Aug 2005,24 Jun 1987,FC Barcelona ,ESP,http://img.fifa.com/images/fwc/2014/players/prt-3/229397.png
Argentina,ARG,Maxi RODRIGUEZ,Midfielder,57,16,180,Japan - Argentina 08 Jun 2003,02 Jan 1981,CA Newells Old Boys ,ARG,http://img.fifa.com/images/fwc/2014/players/prt-3/184291.png
Argentina,ARG,Agustin ORION,Goalkeeper,3,0,190,Argentina - Brazil 14 Sep 2011,26 Jun 1981,CA Boca Juniors ,ARG,http://img.fifa.com/images/fwc/2014/players/prt-3/274703.png
Argentina,ARG,Augusto FERNANDEZ,Midfielder,9,1,177,Argentina - Brazil 14 Sep 2011,10 Apr 1986,Celta Vigo ,ESP,http://img.fifa.com/images/fwc/2014/players/prt-3/298892.png
Argentina,ARG,Javier MASCHERANO,Midfielder,105,3,171,Argentina - Uruguay 16 Jul 2003,08 Jun 1984,FC Barcelona ,ESP,http://img.fifa.com/images/fwc/2014/players/prt-3/182372.png
Argentina,ARG,Martin DEMICHELIS,Defender,41,2,184,Argentina - England 12 Nov 2005,20 Dec 1980,Manchester City FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/233703.png
Argentina,ARG,Marcos ROJO,Defender,28,1,189,Argentina - Portugal 09 Feb 2011,20 Mar 1990,Sporting CP ,POR,http://img.fifa.com/images/fwc/2014/players/prt-3/318688.png
Argentina,ARG,Federico FERNANDEZ,Defender,30,2,190,Argentina - Ecuador 20 Apr 2011,21 Feb 1989,SSC Napoli ,ITA,http://img.fifa.com/images/fwc/2014/players/prt-3/318034.png
Argentina,ARG,Rodrigo PALACIO,Forward,27,3,175,Argentina - Mexico 09 Mar 2005,05 Feb 1982,FC Internazionale ,ITA,http://img.fifa.com/images/fwc/2014/players/prt-3/230739.png
Argentina,ARG,Ricardo ALVAREZ,Midfielder,8,1,188,Venezuela - Argentina 02 Sep 2011,12 Apr 1988,FC Internazionale ,ITA,http://img.fifa.com/images/fwc/2014/players/prt-3/349631.png
Argentina,ARG,Sergio AGUERO,Forward,56,21,172,Brazil - Argentina 03 Sep 2006,02 Jun 1988,Manchester City FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/228528.png
Argentina,ARG,Mariano ANDUJAR,Goalkeeper,10,0,194,Argentina - Colombia 06 Jun 2009,30 Jul 1983,Calcio Catania ,ITA,http://img.fifa.com/images/fwc/2014/players/prt-3/306144.png
Argentina,ARG,Ezequiel LAVEZZI,Forward,37,4,173,Argentina - Chile 18 Apr 2007,03 May 1985,Paris Saint-Germain FC ,FRA,http://img.fifa.com/images/fwc/2014/players/prt-3/229392.png
Argentina,ARG,Jose Maria BASANTA,Defender,12,0,188,Bolivia - Argentina 26 Mar 2013,03 Apr 1984,CF Monterrey ,MEX,http://img.fifa.com/images/fwc/2014/players/prt-3/349832.png
Brazil,BRA,JEFFERSON,Goalkeeper,9,0,190,Argentina - Brazil 14 Sep 2011,02 Jan 1983,Botafogo FR ,BRA,http://img.fifa.com/images/fwc/2014/players/prt-3/184320.png
Brazil,BRA,Dani ALVES,Defender,79,6,175,Brazil - Ecuador 10 Oct 2006,06 May 1983,FC Barcelona ,ESP,http://img.fifa.com/images/fwc/2014/players/prt-3/190962.png
Brazil,BRA,Thiago SILVA,Defender,52,3,182,Venezuela - Brazil 12 Oct 2008,22 Sep 1984,Paris Saint-Germain FC ,FRA,http://img.fifa.com/images/fwc/2014/players/prt-3/289964.png
Brazil,BRA,DAVID LUIZ,Defender,43,2,189,USA - Brazil 10 Aug 2010,22 Apr 1987,Chelsea FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/271043.png
Brazil,BRA,FERNANDINHO,Midfielder,12,2,179,Germany - Brazil 10 Aug 2011,04 May 1985,Manchester City FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/208016.png
Brazil,BRA,MARCELO,Defender,37,4,174,Brazil - Wales 05 Sep 2006,12 May 1988,Real Madrid CF ,ESP,http://img.fifa.com/images/fwc/2014/players/prt-3/218284.png
Brazil,BRA,HULK,Forward,41,9,179,Brazil - England 14 Nov 2009,25 Jul 1986,FC Zenit St. Petersburg ,RUS,http://img.fifa.com/images/fwc/2014/players/prt-3/318172.png
Brazil,BRA,PAULINHO,Midfielder,32,5,181,Argentina - Brazil 14 Sep 2011,25 Jul 1988,Tottenham Hotspur FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/362727.png
Brazil,BRA,FRED,Forward,39,18,186,Brazil - Guatemala 27 Apr 2005,03 Oct 1983,Fluminense FC ,BRA,http://img.fifa.com/images/fwc/2014/players/prt-3/233952.png
Brazil,BRA,NEYMAR,Forward,54,35,175,USA - Brazil 10 Aug 2010,05 Feb 1992,FC Barcelona ,ESP,http://img.fifa.com/images/fwc/2014/players/prt-3/314197.png
Brazil,BRA,OSCAR,Midfielder,38,11,181,Argentina - Brazil 14 Sep 2011,09 Sep 1991,Chelsea FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/312868.png
Brazil,BRA,JULIO CESAR,Goalkeeper,87,0,179,Brazil - Chile 08 Jul 2004,03 Sep 1979,Toronto FC ,CAN,http://img.fifa.com/images/fwc/2014/players/prt-3/179038.png
Brazil,BRA,DANTE,Defender,13,2,189,England - Brazil 06 Feb 2013,18 Oct 1983,FC Bayern Muenchen ,GER,http://img.fifa.com/images/fwc/2014/players/prt-3/367913.png
Brazil,BRA,MAXWELL,Defender,10,0,177,Switzerland - Brazil 14 Aug 2013,27 Aug 1981,Paris Saint-Germain FC ,FRA,http://img.fifa.com/images/fwc/2014/players/prt-3/207809.png
Brazil,BRA,HENRIQUE,Defender,6,0,186,Brazil - Venezuela 06 Jun 2008,14 Oct 1986,SSC Napoli ,ITA,http://img.fifa.com/images/fwc/2014/players/prt-3/298613.png
Brazil,BRA,RAMIRES,Midfielder,49,4,181,Uruguay - Brazil 06 Jun 2009,24 Mar 1987,Chelsea FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/298959.png
Brazil,BRA,LUIZ GUSTAVO,Midfielder,25,1,188,Germany - Brazil 10 Aug 2011,23 Jul 1987,VfL Wolfsburg ,GER,http://img.fifa.com/images/fwc/2014/players/prt-3/367918.png
Brazil,BRA,HERNANES,Midfielder,27,2,180,Sweden - Brazil 26 Mar 2008,29 May 1985,FC Internazionale ,ITA,http://img.fifa.com/images/fwc/2014/players/prt-3/239424.png
Brazil,BRA,WILLIAN,Midfielder,12,2,176,Gabon - Brazil 10 Nov 2011,09 Aug 1988,Chelsea FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/218306.png
Brazil,BRA,BERNARD,Forward,14,1,166,Argentina - Brazil 21 Nov 2012,08 Sep 1992,Shakhtar Donetsk ,UKR,http://img.fifa.com/images/fwc/2014/players/prt-3/356669.png
Brazil,BRA,JO,Forward,20,5,191,Brazil - Turkey 05 Jun 2007,20 Mar 1987,Atletico Mineiro ,BRA,http://img.fifa.com/images/fwc/2014/players/prt-3/217172.png
Brazil,BRA,VICTOR,Goalkeeper,6,0,195,USA - Brazil 10 Aug 2010,21 Jan 1983,Atletico Mineiro ,BRA,http://img.fifa.com/images/fwc/2014/players/prt-3/309426.png
Brazil,BRA,MAICON,Defender,75,7,186,Mexico - Brazil 13 Jul 2003,26 Jul 1981,AS Roma ,ITA,http://img.fifa.com/images/fwc/2014/players/prt-3/181406.png
Chile,CHI,Claudio BRAVO,Goalkeeper,83,0,185,Paraguay - Chile 11 Jul 2004,13 Apr 1983,Real Sociedad ,ESP,http://img.fifa.com/images/fwc/2014/players/prt-3/202650.png
Chile,CHI,Eugenio MENA,Defender,29,3,174,Ukraine - Chile 07 Sep 2010,18 Jul 1988,Santos FC ,BRA,http://img.fifa.com/images/fwc/2014/players/prt-3/349592.png
Chile,CHI,Miiko ALBORNOZ,Defender,2,1,180,Chile - Costa Rica 22 Jan 2014,30 Nov 1990,Malmo FF ,SWE,http://img.fifa.com/images/fwc/2014/players/prt-3/379894.png
Chile,CHI,Mauricio ISLA,Defender,51,2,177,Switzerland - Chile 07 Sep 2007,12 Jun 1988,Juventus FC ,ITA,http://img.fifa.com/images/fwc/2014/players/prt-3/228617.png
Chile,CHI,Francisco SILVA,Midfielder,15,0,178,Chile - Cuba 09 May 2007,11 Feb 1986,CA Osasuna ,ESP,http://img.fifa.com/images/fwc/2014/players/prt-3/349582.png
Chile,CHI,Carlos CARMONA,Midfielder,46,1,179,Chile - Guatemala 04 Jun 2008,21 Feb 1987,Atalanta Bergamo ,ITA,http://img.fifa.com/images/fwc/2014/players/prt-3/229436.png
Chile,CHI,Alexis SANCHEZ,Forward,71,24,169,Chile - New Zealand 27 Apr 2006,19 Dec 1988,FC Barcelona ,ESP,http://img.fifa.com/images/fwc/2014/players/prt-3/228627.png
Chile,CHI,Arturo VIDAL,Midfielder,57,8,178,Venezuela - Chile 07 Feb 2007,22 May 1987,Juventus FC ,ITA,http://img.fifa.com/images/fwc/2014/players/prt-3/267543.png
Chile,CHI,Mauricio PINILLA,Forward,29,5,185,Chile - Peru 30 Mar 2003,04 Feb 1984,Cagliari Calcio ,ITA,http://img.fifa.com/images/fwc/2014/players/prt-3/201787.png
Chile,CHI,Jorge VALDIVIA,Midfielder,60,5,173,Mexico - Chile 18 Feb 2004,19 Oct 1983,Palmeiras ,BRA,http://img.fifa.com/images/fwc/2014/players/prt-3/202655.png
Chile,CHI,Eduardo VARGAS,Forward,34,15,175,Chile - Paraguay 04 Nov 2009,20 Nov 1989,Valencia CF ,ESP,http://img.fifa.com/images/fwc/2014/players/prt-3/270301.png
Chile,CHI,Cristopher TOSELLI,Goalkeeper,4,0,181,Chile - Panama 20 Jan 2010,15 Jun 1988,CD Universidad Catolica ,CHI,http://img.fifa.com/images/fwc/2014/players/prt-3/228624.png
Chile,CHI,Jose ROJAS,Defender,20,1,174,Chile - Cuba 09 May 2007,23 Jun 1983,Club Universidad de Chile ,CHI,http://img.fifa.com/images/fwc/2014/players/prt-3/245156.png
Chile,CHI,Fabian ORELLANA,Forward,26,2,168,Chile - Panama 07 Jun 2008,27 Jan 1986,Celta Vigo ,ESP,http://img.fifa.com/images/fwc/2014/players/prt-3/281252.png
Chile,CHI,Jean BEAUSEJOUR,Midfielder,62,6,178,Mexico - Chile 18 Feb 2004,01 Jun 1984,Wigan Athletic FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/209502.png
Chile,CHI,Felipe GUTIERREZ,Midfielder,22,1,175,Chile - Israel 30 May 2010,08 Oct 1990,FC Twente ,NED,http://img.fifa.com/images/fwc/2014/players/prt-3/349588.png
Chile,CHI,Gary MEDEL,Defender,65,5,171,Argentina - Chile 18 Apr 2007,03 Aug 1987,Cardiff City FC ,WAL,http://img.fifa.com/images/fwc/2014/players/prt-3/267527.png
Chile,CHI,Gonzalo JARA,Defender,69,3,177,Chile - New Zealand 25 Apr 2006,29 Aug 1985,Nottingham Forest FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/229439.png
Chile,CHI,Jose FUENZALIDA,Midfielder,23,1,170,Chile - Guatemala 04 Jun 2008,22 Feb 1985,CSD Colo-Colo ,CHI,http://img.fifa.com/images/fwc/2014/players/prt-3/229440.png
Chile,CHI,Charles ARANGUIZ,Midfielder,25,3,171,Chile - Paraguay 04 Nov 2009,17 Apr 1989,SC Internacional ,BRA,http://img.fifa.com/images/fwc/2014/players/prt-3/318150.png
Chile,CHI,Marcelo DIAZ,Midfielder,25,1,168,Uruguay - Chile 11 Nov 2011,30 Dec 1986,FC Basel ,SUI,http://img.fifa.com/images/fwc/2014/players/prt-3/233530.png
Chile,CHI,Esteban PAREDES,Forward,35,10,179,Chile - Colombia 16 Aug 2006,01 Aug 1980,CSD Colo-Colo ,CHI,http://img.fifa.com/images/fwc/2014/players/prt-3/313874.png
Chile,CHI,Johnny HERRERA,Goalkeeper,8,0,183,Turkey - Chile 17 Apr 2002,09 May 1981,Club Universidad de Chile ,CHI,http://img.fifa.com/images/fwc/2014/players/prt-3/178630.png
Colombia,COL,David OSPINA,Goalkeeper,49,0,183,Colombia - Uruguay 07 Feb 2007,31 Aug 1988,OGC Nice ,FRA,http://img.fifa.com/images/fwc/2014/players/prt-3/228686.png
Colombia,COL,Cristian ZAPATA,Defender,28,0,187,Colombia - Paraguay 12 Sep 2007,30 Sep 1986,AC Milan ,ITA,http://img.fifa.com/images/fwc/2014/players/prt-3/200209.png
